,City,Country,Date,Longitude,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
1,Tasiilaq,GL,1547340600.0,-37.64,65.61,17.6,67.0,36.0,5.82
2,Te Anau,NZ,1547341779.0,167.72,-45.41,55.3,84.0,36.0,5.28
3,Kapaa,US,1547340960.0,-159.32,22.08,79.14,68.0,75.0,9.17
4,Kodiak,US,1547340900.0,-94.76,39.95,30.87,95.0,90.0,14.99
5,Rikitea,PF,1547342251.0,-134.97,-23.12,79.15,100.0,68.0,12.44
6,Sao Filipe,CV,1547341732.0,-24.5,14.9,71.73,99.0,32.0,9.24
7,Pevek,RU,1547341781.0,170.27,69.7,-23.54,71.0,0.0,2.98
8,Gonen,IL,1547341781.0,35.65,33.12,33.43,78.0,0.0,2.48
9,Dawlatabad,AF,1547341782.0,64.91,36.41,23.71,72.0,12.0,6.29
10,Atuona,PF,1547342236.0,-139.03,-9.8,80.73,100.0,48.0,15.28
